scenario,workload,technology,per_node_rps,aggregate_rps,repetition_count,metric_name,mean,median,stddev,min,max,ci95_low,ci95_high
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,proxy_tier_rss_mib,642.963440939486,642.9060470730234,6.0507268694994645,635.0821888153939,649.4816455696202,635.4516756627829,650.475206216189
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,rps_per_db_connection,0.9953407341818842,0.9923239540364184,0.012213823233508678,0.9841445622880904,1.014536492847887,0.9801777008405942,1.010503767523174
ojp-prod,W5_HTAP,OJP,4.0,16.0,5,successful_rps,12.939429544364492,12.900211402473438,0.15877970203561337,12.793879309745176,13.188974407022533,12.742310110927722,13.136548977801262
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,attempted_rps,27.939750768081957,27.969174830840053,0.08171907995776866,27.826796363307487,28.01364867358364,27.838299395294797,28.041202140869117
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,error_rate_pct,51.189494304032344,40.372735475810366,16.80158209308793,38.360860081022125,74.26944453916187,30.330919180317675,72.04806942774701
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,error_rps,14.381006979357156,11.31057599553932,4.7733568020649,10.777220426424774,21.036506590604475,8.455051858194741,20.30696210051957
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,offered_rps,32.0,32.0,0.0,32.0,32.0,32.0,32.0
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,ojp_heap_committed_mib,131.6,133.0,3.7815340802378072,126.0,136.0,126.90535801578011,136.29464198421988
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,ojp_heap_used_mib,81.35799999999999,81.84,1.1850031645527364,79.36,82.27,79.88686011610586,82.82913988389411
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,p95_latency_ms,3480.2678,4306.942999999999,1796.2754975301532,1457.663,5031.9349999999995,1250.2547452451954,5710.280854754805
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,p99_latency_ms,14631.7302,19005.439,7914.445667636566,4900.862999999999,21889.023,4806.22337532603,24457.23702467397
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,postgres_backend_connections,14.8,16.0,1.6431676725154984,13.0,16.0,12.760064942210171,16.83993505778983
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,postgres_cpu_pct_avg,106.51951188230392,133.29714606741572,38.65754000871479,58.82035538005923,135.95662485746863,58.527531252009176,154.51149251259866
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,postgres_rss_mib,5647.826170263817,6021.092930444698,595.1549726953432,4969.2170408163265,6111.69231292517,4908.962137136529,6386.690203391106
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,proxy_tier_cpu_pct,6.544535191016993,6.765364677516576,0.3865166753007252,6.106249999999999,6.889368231046932,6.064688289477563,7.024382092556423
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,proxy_tier_rss_mib,651.2491403691768,651.6751235684147,8.191637966527574,642.8381134328357,662.2702584134615,641.0795090234845,661.418771714869
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,rps_per_db_connection,0.9057641134434464,1.0440799309174538,0.2306696906662204,0.5612253677457922,1.0819547700681893,0.6193957795051335,1.1921324473817594
ojp-prod,W5_HTAP,OJP,8.0,32.0,5,successful_rps,13.691511457067856,16.70527889467926,4.687568862870749,7.2959297806953,17.31127632109103,7.872059054784875,19.510963859350838
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,attempted_rps,41.653301881919006,41.831988354741085,0.46203229748734737,41.110254596028355,42.131729467897856,41.07970498292894,42.226898780909075
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,error_rate_pct,67.48142820057174,55.15136097685067,18.85951897565614,51.87841214027945,89.41954275410897,44.06799658613579,90.89485981500769
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,error_rps,28.119428616562004,23.25574768667838,7.595130562105788,21.791850035265078,36.80728458494577,18.69034030057066,37.54851693255335
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,offered_rps,48.0,48.0,0.0,48.0,48.0,48.0,48.0
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,ojp_heap_committed_mib,133.4,135.0,3.2093613071762426,128.0,136.0,129.41569045379254,137.38430954620748
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,ojp_heap_used_mib,81.904,81.51,3.3376477495385846,77.355,85.705,77.76042733318022,86.04757266681978
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,p95_latency_ms,2886.0661999999998,3976.191,2276.971243887634,163.45499999999998,5017.599,59.28622880269495,5712.846171197305
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,p99_latency_ms,15430.2454,20127.743000000002,9553.930196093166,1514.495,23044.095,3569.3760117583715,27291.114788241626
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,postgres_backend_connections,15.3,16.5,2.1095023109728985,13.0,17.0,12.681126837741088,17.91887316225891
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,postgres_cpu_pct_avg,97.60333971739308,131.47570934256055,57.070323446439,24.163829787234047,143.72555684454755,26.752533980951853,168.45414545383431
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,postgres_rss_mib,6070.375275082536,6335.299118329466,550.4872815942056,5096.713397870281,6390.720692041522,5386.964614457547,6753.785935707525
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,proxy_tier_cpu_pct,6.768124643747798,7.174342581423402,1.0763514538513699,5.172274881516588,7.827391826923076,5.431872049480823,8.104377238014774
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,proxy_tier_rss_mib,686.4899197405776,684.8792120853079,10.143924443886677,672.4626236429432,699.2141696750903,673.8965931782451,699.0832463029102
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,rps_per_db_connection,0.8449305723106904,1.1124749880268037,0.4281616314527786,0.3350220712656696,1.2248252062772749,0.31338291773451143,1.3764782268868694
ojp-prod,W5_HTAP,OJP,12.0,48.0,5,successful_rps,13.634054110980895,18.912074796455663,7.967144835268945,4.355286926453704,20.209615903575035,3.7431231172657586,23.52498510469603
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,attempted_rps,3.531049813871366,3.5311151555736755,0.000439355986121178,3.5303680175698826,3.5315234349288422,3.530504368817931,3.5315952589248014
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,error_rate_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,error_rps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,offered_rps,4.0,4.0,0.0,4.0,4.0,4.0,4.0
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,p95_latency_ms,1036.4406,1057.279,296.2102314181603,598.7829999999999,1402.3670000000002,668.7059824969011,1404.1752175030988
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,p99_latency_ms,5898.239,5863.423000000001,413.0821584527708,5267.455,6371.327,5385.4119824837135,6411.066017516286
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,postgres_backend_connections,13.0,13.0,0.0,13.0,13.0,13.0,13.0
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,postgres_cpu_pct_avg,23.40645420074009,24.120316868592734,1.479028335386312,21.135083798882683,24.838818011257036,21.57029237545283,25.24261602602735
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,postgres_rss_mib,9325.419131909603,9380.461969839776,323.43268369159216,8997.893808193669,9776.735272045029,8923.888794298056,9726.949469521149
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,proxy_tier_cpu_pct,0.4659084674773313,0.4656658595641646,0.001950883613343324,0.46359951603145794,0.46824742268041236,0.46348651386718365,0.4683304210874789
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,proxy_tier_rss_mib,54.55860227494545,54.564264972776776,0.0859954944902456,54.46009057971015,54.6843583535109,54.451841883442576,54.665362666448324
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,rps_per_db_connection,0.27161921645164355,0.2716242427364366,3.379661431700725e-05,0.27156677058229867,0.27165564884068016,0.2715772591398408,0.2716611737634463
pgbouncer-prod,W5_HTAP,PgBouncer,1.0,4.0,5,successful_rps,3.531049813871366,3.5311151555736755,0.000439355986121178,3.5303680175698826,3.5315234349288422,3.530504368817931,3.5315952589248014
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,attempted_rps,13.906703194675876,13.892409309543039,0.031327208423448744,13.875406883888896,13.952997366554065,13.867811563715385,13.945594825636366
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,error_rate_pct,0.09402766453743744,0.08997162433386394,0.05319839799824472,0.013863856924996535,0.1519756838905775,0.02798371849951284,0.16007161057536204
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,error_rps,0.01311761503900688,0.012538965820339323,0.0074305778326067135,0.0019367890168568434,0.021257973497395204,0.0038928131676522464,0.022342416910361512
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,offered_rps,16.0,16.0,0.0,16.0,16.0,16.0,16.0
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,p95_latency_ms,13301.349400000001,13643.775,1258.8408132996003,11636.735,14802.943,11738.542663852813,14864.156136147189
pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,5,p99_latency_ms,20878.130200000003,21422.078999999998,1932.4839447020508,17997.823,23126.015,18479.019133398542,23277.241266601464
