label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,ojp_heap_used_mib,ojp_heap_committed_mib,ojp_heap_max_mib,ojp_heap_utilisation_percent,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
pgBouncer J,pgbouncer-prod-20260702-012455,pgbouncer-prod,W5_HTAP,PgBouncer,4.0,16.0,runInfo.targetRps_per_node,13.972365455726829,13.974302244743686,0.0019367890168568434,13.952997366554065,16.0,0.013863856924996535,12443.647,20119.551,14.0,0.9980261039804877,131.06571743929362,12045.049094922737,0.9195680863827235,54.79850029994002,900.0,,,,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
pgBouncer K,pgbouncer-prod-20260702-025826,pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,runInfo.targetRps_per_node,15.903954889046991,28.21271862038267,12.308763731335677,27.311945916171723,32.0,43.6277475297439,38649.854999999996,44531.711,18.0,0.8835530493914995,190.29103321033207,13320.43434194342,0.9876303317535545,54.61183056872037,900.0,,,,,0.0,12981.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
pgBouncer L,pgbouncer-prod-20260702-043219,pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,runInfo.targetRps_per_node,16.2111533201235,28.2494021129016,12.038248792778099,27.335459309496464,32.0,42.6143044310814,37912.575,45121.535,17.0,0.9535972541249118,189.44082500000002,13106.3641,0.9761698337292161,54.663693586698336,900.0,,,,,0.0,12685.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
pgBouncer M,pgbouncer-prod-20260702-060551,pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,runInfo.targetRps_per_node,16.477006798459403,28.25325391166811,11.776247113208706,27.326357214717166,32.0,41.680937510493266,38289.407,44433.40700000001,18.0,0.9153892665810779,189.237103960396,13133.177190594057,1.0004154302670623,54.65541839762611,900.0,,,,,0.0,12413.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
pgBouncer N,pgbouncer-prod-20260702-073926,pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,runInfo.targetRps_per_node,14.749236471726107,28.248044787009142,13.498808315283036,27.31674398145347,32.0,47.78419391660512,38846.463,45334.527,19.0,0.7762756037750582,189.97045169385197,13081.83215809285,0.9125251926496739,54.51834617664492,900.0,,,,,0.0,14233.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
pgBouncer O,pgbouncer-prod-20260702-091255,pgbouncer-prod,W5_HTAP,PgBouncer,8.0,32.0,runInfo.targetRps_per_node,15.330392723641353,28.245743915321174,12.91535119167982,27.316354217805518,32.0,45.72589309696482,39206.911,45891.583,17.0,0.9017878072730208,189.8165789473684,13134.340776942357,0.9524004753416517,54.76493761140819,900.0,,,,,0.0,13619.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
pgBouncer P,pgbouncer-prod-20260702-104659,pgbouncer-prod,W5_HTAP,PgBouncer,12.0,48.0,runInfo.targetRps_per_node,15.280753018904596,42.362546980785496,27.081793961880894,40.952105210027376,48.0,63.928667323010835,39337.983,45563.903000000006,19.0,0.8042501588897156,199.09727848101267,13564.337518987342,0.988973293768546,54.55108011869435,900.0,,,,,0.0,28571.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
pgBouncer Q,pgbouncer-prod-20260702-122041,pgbouncer-prod,W5_HTAP,PgBouncer,12.0,48.0,runInfo.targetRps_per_node,16.10033569285335,42.37473931104127,26.274403618187915,40.96022546770976,48.0,62.005548594952565,39550.975000000006,46743.551,18.0,0.8944630940474083,199.5527643312102,13562.558445859873,1.0530189798339264,54.69045077105576,900.0,,,,,0.0,27714.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
pgBouncer R,pgbouncer-prod-20260702-135435,pgbouncer-prod,W5_HTAP,PgBouncer,12.0,48.0,runInfo.targetRps_per_node,16.463359416464815,42.34464239789475,25.881282981429933,40.95129001216324,48.0,61.12056229574249,39567.359,45285.375,18.0,0.9146310786924897,197.3311125319693,13501.120409207162,1.0413625592417062,54.534372037914686,900.0,,,,,0.0,27305.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
pgBouncer S,pgbouncer-prod-20260702-152856,pgbouncer-prod,W5_HTAP,PgBouncer,12.0,48.0,runInfo.targetRps_per_node,15.790379366537294,42.350329536061885,26.559950169524587,40.95129001212645,48.0,62.714861235452105,39632.895000000004,44990.463,19.0,0.831072598238805,198.54952201257862,13674.401496855347,1.0245277449822905,54.88252066115703,900.0,,,,,0.0,28021.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
